neighbourhood_group,room_type,price,availability_365
Brooklyn,Private room,149,365
Manhattan,Entire home_apt,225,355
Manhattan,Private room,150,365
Brooklyn,Entire home_apt,89,194
Manhattan,Entire home_apt,80,0
Manhattan,Entire home_apt,200,129
Brooklyn,Private room,60,0
Manhattan,Private room,79,220
Manhattan,Private room,79,0
Manhattan,Entire home_apt,150,188
Manhattan,Entire home_apt,135,6
Manhattan,Private room,85,39
Brooklyn,Private room,89,314
Manhattan,Private room,85,333
Manhattan,Entire home_apt,120,0
Brooklyn,Entire home_apt,140,46
Brooklyn,Entire home_apt,215,321
Manhattan,Private room,140,12
Brooklyn,Entire home_apt,99,21
Manhattan,Entire home_apt,190,249
Brooklyn,Entire home_apt,299,0
Brooklyn,Private room,130,347
Brooklyn,Private room,80,364
Brooklyn,Private room,110,304
Brooklyn,Entire home_apt,120,233
Brooklyn,Private room,60,85
Manhattan,Private room,80,0
Manhattan,Entire home_apt,150,75
Manhattan,Private room,44,311
Manhattan,Entire home_apt,180,67
Manhattan,Private room,50,355
Manhattan,Private room,52,255
Brooklyn,Private room,55,284
Manhattan,Private room,50,359
Brooklyn,Private room,70,269
Brooklyn,Private room,89,340
Brooklyn,Private room,35,365
Brooklyn,Entire home_apt,85,22
Brooklyn,Private room,150,365
Manhattan,Shared room,40,188
Manhattan,Private room,68,96
Brooklyn,Entire home_apt,120,345
Brooklyn,Private room,120,311
Manhattan,Private room,135,273
Manhattan,Entire home_apt,150,309
Brooklyn,Entire home_apt,150,95
Queens,Private room,130,215
Brooklyn,Entire home_apt,110,265
Brooklyn,Entire home_apt,115,0
Brooklyn,Private room,80,192
Brooklyn,Private room,80,251
Manhattan,Entire home_apt,151,302
Brooklyn,Entire home_apt,228,140
Brooklyn,Entire home_apt,144,234
Manhattan,Entire home_apt,200,257
Brooklyn,Entire home_apt,150,30
Manhattan,Private room,110,301
Manhattan,Private room,69,294
Brooklyn,Private room,49,320
Manhattan,Entire home_apt,180,154
Brooklyn,Private room,80,263
Manhattan,Entire home_apt,375,180
Manhattan,Entire home_apt,250,231
Brooklyn,Entire home_apt,200,297
Brooklyn,Private room,55,292
Manhattan,Private room,52,191
Brooklyn,Entire home_apt,225,0
Manhattan,Private room,80,72
Brooklyn,Entire home_apt,275,362
Manhattan,Private room,99,336
Manhattan,Entire home_apt,225,215
Manhattan,Entire home_apt,230,116
Manhattan,Private room,51,88
Manhattan,Private room,65,336
Brooklyn,Private room,105,304
Manhattan,Entire home_apt,190,224
Manhattan,Private room,200,322
Queens,Private room,70,324
Brooklyn,Private room,95,132
Manhattan,Private room,150,295
Brooklyn,Private room,145,238
Manhattan,Entire home_apt,110,209
Manhattan,Entire home_apt,285,328
Brooklyn,Entire home_apt,130,38
Manhattan,Private room,94,188
Brooklyn,Entire home_apt,800,7
Brooklyn,Entire home_apt,105,272
Manhattan,Private room,60,26
Manhattan,Private room,50,0
Brooklyn,Private room,85,288
Brooklyn,Private room,65,317
Brooklyn,Entire home_apt,131,207
Brooklyn,Private room,98,185
Brooklyn,Entire home_apt,250,158
Brooklyn,Entire home_apt,100,0
Brooklyn,Entire home_apt,105,9
Manhattan,Entire home_apt,140,198
Manhattan,Private room,89,365
Manhattan,Private room,98,364
Brooklyn,Entire home_apt,125,311
Manhattan,Private room,60,219
Brooklyn,Entire home_apt,175,342
Manhattan,Private room,65,312
Manhattan,Entire home_apt,500,243
Brooklyn,Private room,101,152
Brooklyn,Entire home_apt,220,9
Brooklyn,Entire home_apt,125,137
Brooklyn,Entire home_apt,80,222
Manhattan,Private room,100,346
Brooklyn,Entire home_apt,200,208
Manhattan,Private room,59,279
Brooklyn,Private room,125,250
Manhattan,Entire home_apt,140,164
Brooklyn,Entire home_apt,120,192
Manhattan,Entire home_apt,350,298
Manhattan,Entire home_apt,199,260
Brooklyn,Entire home_apt,325,107
Manhattan,Entire home_apt,235,199
Manhattan,Entire home_apt,225,299
Brooklyn,Private room,99,20
Manhattan,Entire home_apt,170,318
Brooklyn,Entire home_apt,400,216
Manhattan,Entire home_apt,170,224
Manhattan,Entire home_apt,100,0
Brooklyn,Private room,75,324
Brooklyn,Private room,90,245
Manhattan,Entire home_apt,150,189
Manhattan,Private room,85,307
Brooklyn,Private room,70,310
Manhattan,Entire home_apt,120,213
Brooklyn,Private room,89,278
Manhattan,Entire home_apt,185,209
Brooklyn,Private room,50,0
Manhattan,Entire home_apt,105,16
Manhattan,Private room,130,234
Manhattan,Entire home_apt,115,12
Brooklyn,Private room,77,178
Brooklyn,Private room,76,275
Brooklyn,Entire home_apt,125,163
Brooklyn,Private room,135,365
Brooklyn,Entire home_apt,250,34
Brooklyn,Entire home_apt,199,280
Brooklyn,Entire home_apt,140,0
Queens,Private room,140,1
Brooklyn,Entire home_apt,115,170
Brooklyn,Entire home_apt,160,188
Brooklyn,Entire home_apt,195,214
Manhattan,Entire home_apt,195,248
Brooklyn,Private room,80,262
Brooklyn,Private room,44,280
Manhattan,Private room,156,307
Brooklyn,Private room,85,339
Brooklyn,Private room,125,1
Brooklyn,Entire home_apt,115,269
Manhattan,Private room,69,10
Manhattan,Entire home_apt,225,312
Brooklyn,Entire home_apt,125,189
Manhattan,Entire home_apt,219,290
Brooklyn,Entire home_apt,475,230
Manhattan,Entire home_apt,99,164
Brooklyn,Private room,69,53
Queens,Private room,79,126
Brooklyn,Entire home_apt,135,3
Brooklyn,Private room,250,189
Manhattan,Entire home_apt,250,365
Brooklyn,Entire home_apt,250,0
Manhattan,Entire home_apt,80,0
Brooklyn,Private room,70,336
Brooklyn,Entire home_apt,165,342
Staten Island,Private room,70,312
Brooklyn,Private room,50,37
Bronx,Private room,40,353
Brooklyn,Entire home_apt,150,177
Manhattan,Private room,125,310
Manhattan,Entire home_apt,196,0
Brooklyn,Private room,110,321
Manhattan,Entire home_apt,170,246
Manhattan,Entire home_apt,165,231
Manhattan,Entire home_apt,150,225
Manhattan,Entire home_apt,100,0
Brooklyn,Private room,65,0
Queens,Entire home_apt,350,365
Manhattan,Private room,99,233
Brooklyn,Entire home_apt,200,1
Brooklyn,Entire home_apt,150,18
Brooklyn,Private room,90,343
Brooklyn,Private room,120,250
Manhattan,Private room,75,326
Brooklyn,Entire home_apt,175,364
Manhattan,Entire home_apt,125,0
Manhattan,Entire home_apt,275,299
Manhattan,Entire home_apt,299,207
Brooklyn,Entire home_apt,135,162
Manhattan,Private room,130,0
Manhattan,Private room,83,7
Manhattan,Private room,123,328
Queens,Private room,55,365
Manhattan,Entire home_apt,195,0
Brooklyn,Private room,80,0
Queens,Entire home_apt,98,240
Queens,Private room,140,365
Queens,Entire home_apt,265,365
Brooklyn,Entire home_apt,249,164
Manhattan,Shared room,105,363
Manhattan,Private room,200,365
Brooklyn,Private room,100,250
Manhattan,Entire home_apt,121,247
Bronx,Private room,45,323
Manhattan,Private room,100,192
Brooklyn,Entire home_apt,140,125
Brooklyn,Private room,71,91
Manhattan,Private room,130,75
Manhattan,Entire home_apt,199,286
Brooklyn,Private room,69,60
Brooklyn,Private room,68,0
Manhattan,Entire home_apt,130,192
Brooklyn,Entire home_apt,195,58
Manhattan,Private room,64,245
Queens,Entire home_apt,140,292
Brooklyn,Entire home_apt,159,279
Manhattan,Entire home_apt,189,0
Manhattan,Entire home_apt,250,3
Manhattan,Entire home_apt,239,351
Manhattan,Entire home_apt,305,201
Manhattan,Entire home_apt,155,232
Manhattan,Private room,60,258
Brooklyn,Private room,135,272
Manhattan,Private room,120,341
Manhattan,Entire home_apt,150,244
Queens,Entire home_apt,140,365
Brooklyn,Entire home_apt,135,12
Manhattan,Entire home_apt,250,265
Manhattan,Entire home_apt,250,0
Manhattan,Entire home_apt,500,329
Manhattan,Entire home_apt,225,91
Manhattan,Entire home_apt,125,365
Manhattan,Private room,92,253
Manhattan,Private room,175,365
Manhattan,Entire home_apt,99,320
Manhattan,Entire home_apt,195,0
Manhattan,Entire home_apt,140,192
Manhattan,Entire home_apt,135,0
Manhattan,Entire home_apt,500,348
Manhattan,Private room,80,0
Manhattan,Private room,120,353
Manhattan,Entire home_apt,110,140
Brooklyn,Entire home_apt,65,2
Manhattan,Entire home_apt,130,56
Brooklyn,Entire home_apt,99,68
Staten Island,Private room,36,360
Staten Island,Private room,37,0
Staten Island,Private room,37,320
Manhattan,Entire home_apt,175,326
Manhattan,Entire home_apt,205,76
Brooklyn,Entire home_apt,285,279
Brooklyn,Private room,59,15
Staten Island,Private room,36,340
Queens,Entire home_apt,99,226
Brooklyn,Private room,39,365
Brooklyn,Private room,60,0
Bronx,Private room,90,349
Bronx,Entire home_apt,105,365
Brooklyn,Entire home_apt,135,11
Manhattan,Entire home_apt,390,316
Brooklyn,Private room,70,281
Manhattan,Private room,75,323
Brooklyn,Private room,60,362
Manhattan,Entire home_apt,200,0
Brooklyn,Private room,100,301
Brooklyn,Private room,70,189
Brooklyn,Private room,110,0
Brooklyn,Private room,60,287
Manhattan,Entire home_apt,90,14
Manhattan,Private room,68,86
Manhattan,Entire home_apt,115,261
Brooklyn,Private room,75,68
Brooklyn,Private room,60,0
Manhattan,Entire home_apt,129,231
Brooklyn,Entire home_apt,130,152
Brooklyn,Entire home_apt,95,46
Manhattan,Private room,75,364
Brooklyn,Entire home_apt,175,246
Brooklyn,Entire home_apt,190,288
Brooklyn,Private room,49,331
Manhattan,Entire home_apt,212,51
Manhattan,Private room,95,364
Brooklyn,Entire home_apt,140,254
Manhattan,Entire home_apt,135,189
Brooklyn,Entire home_apt,150,263
Brooklyn,Entire home_apt,190,258
Manhattan,Entire home_apt,124,103
Brooklyn,Entire home_apt,135,42
Manhattan,Private room,122,246
Manhattan,Private room,109,364
Manhattan,Private room,85,318
Brooklyn,Entire home_apt,145,72
Manhattan,Entire home_apt,195,249
Brooklyn,Entire home_apt,250,272
Brooklyn,Private room,125,325
Manhattan,Entire home_apt,575,298
Manhattan,Entire home_apt,150,35
Brooklyn,Private room,70,203
Manhattan,Private room,90,132
Manhattan,Private room,65,5
Manhattan,Entire home_apt,500,297
Manhattan,Entire home_apt,250,276
Manhattan,Entire home_apt,125,102
Manhattan,Entire home_apt,200,251
Brooklyn,Entire home_apt,229,188
Bronx,Entire home_apt,90,346
Manhattan,Entire home_apt,110,0
Brooklyn,Private room,59,15
Brooklyn,Entire home_apt,195,71
Brooklyn,Entire home_apt,169,215
Manhattan,Entire home_apt,113,253
Manhattan,Entire home_apt,250,78
Queens,Entire home_apt,115,257
Brooklyn,Private room,55,0
Brooklyn,Private room,69,8
Manhattan,Entire home_apt,150,191
Brooklyn,Entire home_apt,169,182
Brooklyn,Private room,179,79
Manhattan,Private room,150,49
Brooklyn,Entire home_apt,135,0
Brooklyn,Entire home_apt,350,156
Brooklyn,Private room,120,343
Manhattan,Private room,71,200
Brooklyn,Private room,349,60
Brooklyn,Private room,349,60
Brooklyn,Entire home_apt,165,189
Brooklyn,Private room,249,60
Brooklyn,Private room,100,0
Brooklyn,Entire home_apt,200,106
Manhattan,Entire home_apt,169,276
Brooklyn,Entire home_apt,185,248
Brooklyn,Entire home_apt,65,194
Brooklyn,Entire home_apt,130,135
